source (en),translation (ko)
Problem reports and getting help,문제 보고 및 도움 받기
"Need help resolving a problem with Django? The documentation in the distribution is also available :doc:`online </index>` at the `Django website`_. The :doc:`FAQ </faq/index>` document is especially recommended, as it contains a number of issues that come up time and again.",Django의 문제를 해결하는 데 도움이 필요하십니까? 배포판에 있는 문서는 `Django 웹사이트`_에 있는 :doc:`온라인 </index>`에서도 볼 수 있습니다. :doc:`FAQ </faq/index>` 문서에는 자주 제기되는 여러 가지 문제가 포함되어 있기 때문에 특히 권장됩니다.
"For more personalized help, the `django-users`_ mailing list is a very active list, with more than 2,000 subscribers who can help you solve any sort of Django problem. We recommend you search the archives first, though, because many common questions appear with some regularity, and any particular problem may already have been answered.","보다 개인화된 도움이 필요한 경우 `django-users`_ 메일링 리스트는 Django 문제를 해결하는 데 도움을 줄 수 있는 2,000명 이상의 구독자가 있는 매우 활동적인 목록입니다. 그러나 많은 일반적인 질문이 어느 정도 규칙적으로 나타나며 특정 문제에 대한 답변이 이미 있을 수 있으므로 아카이브를 먼저 검색하는 것이 좋습니다."
"Finally, for those who prefer the more immediate feedback offered by IRC, there's a ``#django`` channel on ``irc.libera.chat`` that is regularly populated by Django users and developers from around the world. Friendly people are usually available at any hour of the day -- to help, or just to chat.","마지막으로, IRC가 제공하는 보다 즉각적인 피드백을 선호하는 사람들을 위해, 전 세계의 Django 사용자 및 개발자가 자주 확인하는 ``irc.libera.chat``의 ``#django`` 채널이 있습니다. 친절한 사람들은 일반적으로 하루 중 언제라도 도움을 주거나 채팅을 할 수 있습니다."
Thanks for using Django!,장고를 이용해 주셔서 감사합니다!
The Django Team July 2006,The Django Team July 2006
Django version 0.96 release notes,Django 버전 0.96 릴리스 정보
Welcome to Django 0.96!,Django 0.96에 오신 것을 환영합니다!
"The primary goal for 0.96 is a cleanup and stabilization of the features introduced in 0.95. There have been a few small `backwards-incompatible changes`_ since 0.95, but the upgrade process should be fairly simple and should not require major changes to existing applications.","0.96의 주요 목표는 0.95에 도입된 기능을 정리하고 안정화하는 것입니다. 0.95 이후 몇 가지 작은 '역호환되지 않는 변경들'_이 있었지만, 업그레이드 프로세스는 상당히 단순해야 하며 기존 애플리케이션에 큰 변경이 필요하지 않아야 합니다."
"However, we're also releasing 0.96 now because we have a set of backwards-incompatible changes scheduled for the near future. Once completed, they will involve some code changes for application developers, so we recommend that you stick with Django 0.96 until the next official release; then you'll be able to upgrade in one step instead of needing to make incremental changes to keep up with the development version of Django.","그러나 지금 0.96를 릴리스 하는 이유는 가까운 장래에 이전 버전과 호환되지 않는 일련의 변경이 예정되어 있기 때문입니다. 이 변경에는 애플리케이션 개발자를 위한 일부 코드 변경이 포함되므로, 다음 공식 릴리스까지 Django 0.96을 사용하는 것을 권장합니다. 그러면 Django의 개발 버전을 따라잡기 위해 점진적인 변경을 수행할 필요 없이 한 번에 업그레이드할 수 있습니다."
Backwards-incompatible changes,이전 버전과 호환되지 않는 변경
The following changes may require you to update your code when you switch from 0.95 to 0.96:,다음 변경 사항으로 인해 0.95에서 0.96으로 전환할 때 코드를 업데이트해야 할 수 있습니다.
``MySQLdb`` version requirement,``MySQLdb`` 버전 요구 사항
"Due to a bug in older versions of the ``MySQLdb`` Python module (which Django uses to connect to MySQL databases), Django's MySQL backend now requires version 1.2.1p2 or higher of ``MySQLdb``, and will raise exceptions if you attempt to use an older version.","이전 버전의 ``MySQLdb`` Python 모듈(Django가 MySQL 데이터베이스에 연결하는 데 사용함)의 버그로 인해 Django의 MySQL 백엔드는 이제 ``MySQLdb`` 버전 1.2.1p2 이상이 필요하며, 이전 버전을 사용하려고 하면 예외가 발생합니다."
"If you're currently unable to upgrade your copy of ``MySQLdb`` to meet this requirement, a separate, backwards-compatible backend, called ""mysql_old"", has been added to Django. To use this backend, change the ``DATABASE_ENGINE`` setting in your Django settings file from this::","현재 이 요구 사항을 충족하기 위해 ``MySQLdb`` 사본을 업그레이드할 수 없는 경우, ""mysql_old""라는 별도의 이전 버전과 호환되는 백엔드가 Django에 추가되었습니다. 이 백엔드를 사용하려면 다음에서 Django 설정 파일의 ``DATABASE_ENGINE`` 설정을 변경하십시오::"
to this::,이에::
"However, we strongly encourage MySQL users to upgrade to a more recent version of ``MySQLdb`` as soon as possible, The ""mysql_old"" backend is provided only to ease this transition, and is considered deprecated; aside from any necessary security fixes, it will not be actively maintained, and it will be removed in a future release of Django.","그러나 우리는 MySQL 사용자가 가능한 한 빨리 ``MySQLdb``의 최신 버전으로 업그레이드할 것을 강력히 권장합니다. ""mysql_old"" 백엔드는 이러한 전환을 용이하게 하기 위해서만 제공되며, 이후에는 더 이상 사용되지 않는 것으로 간주됩니다. 필요한 보안 수정 사항을 제외하고는 적극적으로 유지 관리되지 않으며, Django의 향후 릴리스에서 제거될 예정입니다."
"Also, note that some features, like the new ``DATABASE_OPTIONS`` setting (see the :doc:`databases documentation </ref/databases>` for details), are only available on the ""mysql"" backend, and will not be made available for ""mysql_old"".","또한 새로운 ``DATABASE_OPTIONS`` 설정(자세한 내용은 :doc:`데이터베이스 문서 </ref/databases>` 참조)과 같은 일부 기능은 ""mysql"" 백엔드에서만 사용할 수 있으며, ""mysql_old""에서는 사용할 수 없습니다. ."
Database constraint names changed,데이터베이스 제약 조건 이름 변경
"The format of the constraint names Django generates for foreign key references have changed slightly. These names are generally only used when it is not possible to put the reference directly on the affected column, so they are not always visible.","Django가 외래 키 참조를 위해 생성하는 제약 조건 이름의 형식이 약간 변경되었습니다. 이러한 이름은 일반적으로 영향을 받는 열에 참조를 직접 배치할 수 없는 경우에만 사용되므로, 항상 표시되는 것은 아닙니다."
"The effect of this change is that running ``manage.py reset`` and similar commands against an existing database may generate SQL with the new form of constraint name, while the database itself contains constraints named in the old form; this will cause the database server to raise an error message about modifying nonexistent constraints.","이 변경의 효과는 기존 데이터베이스에 대해 ``manage.py reset`` 및 유사한 명령을 실행하면 새로운 형식의 제약 조건 이름으로 SQL을 생성할 수 있지만, 데이터베이스 자체에는 이전 형식으로 명명된 제약 조건이 포함된다는 것입니다. 이로 인해 데이터베이스 서버는 존재하지 않는 제약 조건 수정에 대한 오류 메시지를 발생시킵니다."
"If you need to work around this, there are two methods available:","이 문제를 해결해야 하는 경우, 다음 두 가지 방법을 사용할 수 있습니다:"
"Redirect the output of ``manage.py`` to a file, and edit the generated SQL to use the correct constraint names before executing it.","``manage.py``의 출력을 파일로 리디렉션하고, 실행하기 전에 올바른 제약 조건 이름을 사용하도록 생성된 SQL을 편집합니다."
"Examine the output of ``manage.py sqlall`` to see the new-style constraint names, and use that as a guide to rename existing constraints in your database.","``manage.py sqlall``의 출력을 검사하여 새로운 스타일의 제약 조건 이름을 확인하고, 이를 가이드로 사용하여 데이터베이스의 기존 제약 조건 이름을 바꾸십시오."
Name changes in ``manage.py``,``manage.py``의 이름 변경
A few of the options to ``manage.py`` have changed with the addition of fixture support:,``manage.py``에 대한 몇 가지 옵션이 픽스처 지원 추가로 변경되었습니다.
"There are new ``dumpdata`` and ``loaddata`` commands which, as you might expect, will dump and load data to/from the database. These commands can operate against any of Django's supported serialization formats.","새로운 ``dumpdata`` 및 ``loaddata`` 명령이 있으며, 이는 예상할 수 있듯이 데이터베이스로/에서 데이터를 덤프하고 로드합니다. 이러한 명령은 Django에서 지원하는 모든 직렬화 형식에 대해 작동할 수 있습니다."
"The ``sqlinitialdata`` command has been renamed to ``sqlcustom`` to emphasize that ``loaddata`` should be used for data (and ``sqlcustom`` for other custom SQL -- views, stored procedures, etc.).","``loaddata``가 데이터 (및 다른 사용자 지정 SQL (뷰, 저장 프로시저 등)을 위한 ``sqlcustom``)에 사용되어야 함을 강조하기 위해 ``sqlinitialdata`` 명령이 ``sqlcustom``으로 이름이 변경되었습니다. "
The vestigial ``install`` command has been removed. Use ``syncdb``.,사용되지 않는 ``install`` 명령이 제거되었습니다. ``syncdb``를 사용하십시오.
Backslash escaping changed,백슬래시 이스케이프 변경
"The Django database API now escapes backslashes given as query parameters. If you have any database API code that matches backslashes, and it was working before (despite the lack of escaping), you'll have to change your code to ""unescape"" the slashes one level.","Django 데이터베이스 API는 이제 쿼리 매개변수로 제공된 백슬래시를 이스케이프 처리합니다. 백슬래시와 일치하는 데이터베이스 API 코드가 있고, (이스케이프가 없음에도 불구하고) 이전에 작동하고 있었다면, 슬래시를 한 단계 ""이스케이프 해제""하도록 코드를 변경해야 합니다."
"For example, this used to work::","예를 들어, 이는 다음과 같이 작동했습니다::"
"The above is now incorrect, and should be rewritten as::","위의 내용은 이제 올바르지 않으며, 다음과 같이 다시 작성해야 합니다::"
Removed ENABLE_PSYCO setting,ENABLE_PSYCO 설정 제거
"The ``ENABLE_PSYCO`` setting no longer exists. If your settings file includes ``ENABLE_PSYCO`` it will have no effect; to use Psyco_, we recommend writing a middleware class to activate it.",``ENABLE_PSYCO`` 설정은 더 이상 존재하지 않습니다. 설정 파일에 ``ENABLE_PSYCO``가 포함되어 있으면 아무런 효과가 없습니다. Psyco_를 사용하려면 미들웨어 클래스를 작성하여 활성화하는 것이 좋습니다.
What's new in 0.96?,0.96의 새로운 기능은 무엇입니까?
"This revision represents over a thousand source commits and over four hundred bug fixes, so we can't possibly catalog all the changes. Here, we describe the most notable changes in this release.","이 개정판은 1000개 이상의 소스 커밋과 400개 이상의 버그 수정을 나타내므로, 모든 변경 사항을 카탈로그화할 수는 없습니다. 여기에서는 이 릴리스에서 가장 눈에 띄는 변경 사항을 설명합니다."
New forms library,새 양식 라이브러리
"``django.newforms`` is Django's new form-handling library. It's a replacement for ``django.forms``, the old form/manipulator/validation framework.  Both APIs are available in 0.96, but over the next two releases we plan to switch completely to the new forms system, and deprecate and remove the old system.","``django.newforms``는 Django의 새로운 폼 처리 라이브러리입니다. 이전 양식/조작자/검증 프레임워크인 ``django.forms``를 대체합니다. 두 API 모두 0.96에서 사용할 수 있지만 다음 두 릴리스에서 새로운 양식 시스템으로 완전히 전환하고, 이전 시스템을 더 이상 사용하지 않고 제거할 계획입니다."
There are three elements to this transition:,이 전환에는 세 가지 요소가 있습니다:
We've copied the current ``django.forms`` to ``django.oldforms``. This allows you to upgrade your code *now* rather than waiting for the backwards-incompatible change and rushing to fix your code after the fact.  Just change your import statements like this::,현재 ``django.forms``를 ``django.oldforms``에 복사했습니다. 이렇게 하면 이전 버전과 호환되지 않는 변경을 기다리거나 사후에 코드를 수정하기 위해 서두르지 않고 *지금* 코드를 업그레이드할 수 있습니다. import 문을 다음과 같이 변경하십시오::
"The next official release of Django will move the current ``django.newforms`` to ``django.forms``. This will be a backwards-incompatible change, and anyone still using the old version of ``django.forms`` at that time will need to change their import statements as described above.",Django의 다음 공식 릴리스는 현재 ``django.newforms``를 ``django.forms``로 옮길 것입니다. 이는 이전 버전과 호환되지 않는 변경 사항이며 당시 ``django.forms``의 이전 버전을 사용하는 사람은 위에서 설명한 대로 import 문을 변경해야 합니다.
The next release after that will completely remove ``django.oldforms``.,그 다음 릴리스에서는 ``django.oldforms``가 완전히 제거됩니다.
"Although the ``newforms`` library will continue to evolve, it's ready for use for most common cases. We recommend that anyone new to form handling skip the old forms system and start with the new.","``newforms`` 라이브러리는 계속 발전하겠지만, 대부분의 일반적인 경우에는 사용할 준비가 되어 있습니다. 양식 처리를 처음 접하는 사람은 이전 양식 시스템을 건너뛰고 새 양식으로 시작하는 것이 좋습니다."
"For more information about ``django.newforms``, read the :doc:`newforms documentation </topics/forms/index>`.",``django.newforms``에 대한 자세한 내용은 :doc:`newforms 문서 </topics/forms/index>`를 참조하세요.
URLconf improvements,URLconf 개선
"You can now use any callable as the callback in URLconfs (previously, only strings that referred to callables were allowed). This allows a much more natural use of URLconfs. For example, this URLconf::","이제 URLconf에서 콜백으로 모든 콜러블을 사용할 수 있습니다(이전에는 콜러블을 참조하는 문자열만 허용됨). 이를 통해 URLconf를 훨씬 더 자연스럽게 사용할 수 있습니다. 예를 들어, 이 URLconf::"
can now be rewritten as::,이제 다음과 같이 다시 작성할 수 있습니다::
"One useful application of this can be seen when using decorators; this change allows you to apply decorators to views *in your URLconf*. Thus, you can make a generic view require login very easily::",데코레이터를 사용할 때 유용한 응용 프로그램 중 하나를 볼 수 있습니다. 이 변경으로 *URLconf*의 뷰에 데코레이터를 적용할 수 있습니다. 따라서 로그인이 필요한 일반 뷰를 매우 쉽게 만들 수 있습니다::
"Note that both syntaxes (strings and callables) are valid, and will continue to be valid for the foreseeable future.","두 구문(문자열 및 콜러블)이 모두 유효하며, 가까운 미래에도 계속 유효할 것이라는 점에 유의하십시오."
The test framework,테스트 프레임워크
Django now includes a test framework so you can start transmuting fear into boredom (with apologies to Kent Beck). You can write tests based on :mod:`doctest` or :mod:`unittest` and test your views with a simple test client.,Django에는 이제 테스트 프레임워크가 포함되어 있으므로 두려움을 지루함으로 바꿀 수 있습니다. :mod:`doctest` 또는 :mod:`unittest`를 기반으로 테스트를 작성하고 간단한 테스트 클라이언트로 뷰를 테스트할 수 있습니다.
"There is also new support for ""fixtures"" -- initial data, stored in any of the supported :doc:`serialization formats </topics/serialization>`, that will be loaded into your database at the start of your tests. This makes testing with real data much easier.","""픽스처""에 대한 새로운 지원도 있습니다. 즉, 테스트 시작 시 데이터베이스에 로드될 지원되는 :doc:`직렬화 형식 </topics/serialization>` 중 하나로 저장된 초기 데이터입니다. 이렇게 하면 실제 데이터로 훨씬 쉽게 테스트할 수 있습니다."
See :doc:`the testing documentation </topics/testing/index>` for the full details.,자세한 내용은 :doc:`테스트 문서 </topics/testing/index>`를 참조하세요.
Improvements to the admin interface,관리 인터페이스 개선
"A small change, but a very nice one: dedicated views for adding and updating users have been added to the admin interface, so you no longer need to worry about working with hashed passwords in the admin.","약간의 변경 사항이지만 매우 훌륭합니다: 사용자 추가 및 업데이트를 위한 전용 보기가 관리자 인터페이스에 추가되었으므로, 더 이상 관리자에서 해시된 암호 작업에 대해 걱정할 필요가 없습니다."
Thanks,감사합니다
"Since 0.95, a number of people have stepped forward and taken a major new role in Django's development. We'd like to thank these people for all their hard work:",0.95 이후로 많은 사람들이 Django 개발에 있어 중요한 역할을 맡았습니다. 다음 분들의 노고에 감사드립니다:
Russell Keith-Magee and Malcolm Tredinnick for their major code contributions. This release wouldn't have been possible without them.,Russell Keith-Magee와 Malcolm Tredinnick의 주요 코드 기여. 이 릴리스는 그들 없이는 가능하지 않았을 것입니다.
"Our new release manager, James Bennett, for his work in getting out 0.95.1, 0.96, and (hopefully) future release.","0.95.1, 0.96 및 (바라건대) 향후 릴리스를 내놓는 작업에 대한 새로운 릴리스 관리자인 James Bennett에게 감사드립니다."
"Our ticket managers Chris Beaven (aka SmileyChris), Simon Greenhill, Michael Radziej, and Gary Wilson. They agreed to take on the monumental task of wrangling our tickets into nicely cataloged submission. Figuring out what to work on is now about a million times easier; thanks again, guys.","티켓 매니저 Chris Beaven(일명 SmileyChris), Simon Greenhill, Michael Radziej, Gary Wilson. 그들은 우리의 티켓을 멋지게 분류하여 제출하는 기념비적인 일을 맡는 데 동의했습니다. 작업할 내용을 파악하는 것이 이제 백만 배 더 쉬워졌습니다. 다시 한 번 감사드립니다."
"Everyone who submitted a bug report, patch or ticket comment. We can't possibly thank everyone by name -- over 200 developers submitted patches that went into 0.96 -- but everyone who's contributed to Django is listed in :source:`AUTHORS`.","버그 보고서, 패치 또는 티켓 댓글을 제출한 모든 사람. 200명 이상의 개발자가 0.96에 적용된 패치를 제출했습니다. 하지만 Django에 기여한 모든 사람은 :source:`AUTHORS`에 나열되어 있습니다."
Django 1.0 release notes,Django 1.0 릴리스 노트
Welcome to Django 1.0!,Django 1.0에 오신 것을 환영합니다!
"We've been looking forward to this moment for over three years, and it's finally here. Django 1.0 represents the largest milestone in Django's development to date: a web framework that a group of perfectionists can truly be proud of.",우리는 3년 넘게 이 순간을 고대해 왔습니다. Django 1.0은 현재까지 Django 개발에서 가장 큰 이정표를 나타냅니다: 완벽주의자 그룹이 진정으로 자랑스러워할 수 있는 웹 프레임워크입니다.
"Django 1.0 represents over three years of community development as an Open Source project. Django's received contributions from hundreds of developers, been translated into fifty languages, and today is used by developers on every continent and in every kind of job.","Django 1.0은 오픈 소스 프로젝트로서 3년 이상 동안 커뮤니티에서 개발되었습니다. Django는 수백 명의 개발자로부터 기여를 받았으며, 50개 언어로 번역되었고, 오늘날 모든 대륙의 개발자들이 모든 종류의 직업에서 사용하고 있습니다."
"An interesting historical note: when Django was first released in July 2005, the initial released version of Django came from an internal repository at revision number 8825. Django 1.0 represents revision 8961 of our public repository. It seems fitting that our 1.0 release comes at the moment where community contributions overtake those made privately.","흥미로운 역사 기록: Django가 2005년 7월에 처음 출시되었을 때, Django의 초기 출시 버전은 개정 번호 8825의 내부 저장소에서 나왔습니다. Django 1.0은 공개 저장소의 개정 8961을 나타냅니다. 우리의 1.0 릴리스는 커뮤니티 기여가 비공개 기여를 능가하는 순간에 릴리스하는 것이 적절해 보입니다."
Stability and forwards-compatibility,안정성 및 상위 호환성
"The release of Django 1.0 comes with a promise of API stability and forwards-compatibility. In a nutshell, this means that code you develop against Django 1.0 will continue to work against 1.1 unchanged, and you should need to make only minor changes for any 1.X release.","Django 1.0의 출시는 API 안정성과 상위 호환성을 약속합니다. 간단히 말해서 이것은 Django 1.0에 대해 개발한 코드가 변경되지 않은 1.1에 대해 계속 작동하며, 모든 1.X 릴리스에 대해 사소한 변경만 수행해야 함을 의미합니다."
See the :doc:`API stability guide </misc/api-stability>` for full details.,자세한 내용은 :doc:`API 안정성 가이드 </misc/api-stability>`을 참조하세요.
"Django 1.0 has a number of backwards-incompatible changes from Django 0.96. If you have apps written against Django 0.96 that you need to port, see our detailed porting guide:",Django 1.0에는 Django 0.96에서 이전 버전과 호환되지 않는 여러 변경 사항이 있습니다. 이식해야 하는 Django 0.96 앱이 있는 경우 자세한 이식 가이드를 참조하세요:
A complete list of backwards-incompatible changes can be found at https://code.djangoproject.com/wiki/BackwardsIncompatibleChanges.,이전 버전과 호환되지 않는 변경 사항의 전체 목록은 https://code.djangoproject.com/wiki/BackwardsIncompatibleChanges에서 찾을 수 있습니다.
"The documentation has been greatly improved, cleaned up, and generally made awesome. There's now dedicated search, indexes, and more.","문서화가 크게 개선되고 정리되었으며 일반적으로 훌륭해졌습니다. 이제 전용 검색, 인덱스 등이 있습니다."
"We can't possibly document everything that's new in 1.0, but the documentation will be your definitive guide. Anywhere you see something like:","1.0의 새로운 기능을 모두 문서화할 수는 없지만, 문서화는 당신의 최종 가이드가 되어줄 것입니다. 어디에서나 다음과 같은 것을 볼 수 있습니다:"
You'll know that you're looking at something new or changed.,새로운 것이나 변경된 것을 보고 있다는 것을 알게 될 것입니다.
The other major highlights of Django 1.0 are:,Django 1.0의 다른 주요 특징은 다음과 같습니다:
Refactored admin application,리팩터링된 관리자 애플리케이션
"The Django administrative interface (``django.contrib.admin``) has been completely refactored; admin definitions are now completely decoupled from model definitions (no more ``class Admin`` declaration in models!), rewritten to use Django's new form-handling library (introduced in the 0.96 release as ``django.newforms``, and now available as simply ``django.forms``) and redesigned with extensibility and customization in mind. Full documentation for the admin application is available online in the official Django documentation:","Django 관리 인터페이스(``django.contrib.admin``)가 완전히 리팩토링되었습니다. admin 정의는 이제 모델 정의에서 완전히 분리되었으며(더 이상 ``class Admin``을 모델에서 선언 할 필요가 없습니다!) Django의 새로운 양식 처리 라이브러리(0.96 릴리스에서 ``django.newforms``로 도입되었고, 이젠 간단히 ``django.forms``로 사용 가능)를 사용하도록 재작성되었으며, 확장성과 사용자 정의를 염두에 두고 재설계되었습니다. 관리 애플리케이션에 대한 전체 문서는 공식 Django 문서에서 온라인으로 제공됩니다:"
See the :doc:`admin reference </ref/contrib/admin/index>` for details,자세한 내용은 :doc:`admin reference </ref/contrib/admin/index>`을 참조하십시오.
Improved Unicode handling,향상된 유니코드 처리
"Django's internals have been refactored to use Unicode throughout; this drastically simplifies the task of dealing with non-Western-European content and data in Django. Additionally, utility functions have been provided to ease interoperability with third-party libraries and systems which may or may not handle Unicode gracefully. Details are available in Django's Unicode-handling documentation.",Django의 내부는 전체적으로 유니코드를 사용하도록 리팩터링되었습니다. 이는 Django에서 비서유럽 콘텐츠 및 데이터를 처리하는 작업을 대폭 단순화합니다. 또한 유니코드를 정상적으로 처리하거나 처리하지 않을 수 있는 타사 라이브러리 및 시스템과의 상호 운용성을 용이하게 하기 위해 유틸리티 기능이 제공되었습니다. 자세한 내용은 Django의 유니코드 처리 문서에서 확인할 수 있습니다.
See :doc:`/ref/unicode`.,:doc:`/ref/unicode`를 참조하십시오.
An improved ORM,개선된 ORM
"Django's object-relational mapper -- the component which provides the mapping between Django model classes and your database, and which mediates your database queries -- has been dramatically improved by a massive refactoring. For most users of Django this is backwards-compatible; the public-facing API for database querying underwent a few minor changes, but most of the updates took place in the ORM's internals. A guide to the changes, including backwards-incompatible modifications and mentions of new features opened up by this refactoring, is `available on the Django wiki`__.",Django의 개체 관계형 매퍼(Django 모델 클래스와 데이터베이스 사이의 매핑을 제공하고 데이터베이스 쿼리를 중재하는 구성 요소)는 대규모 리팩토링을 통해 크게 향상되었습니다. 대부분의 Django 사용자에게 이는 이전 버전과 호환됩니다. 데이터베이스 쿼리를 위한 공용 API는 약간의 변경이 있었지만 대부분의 업데이트는 ORM의 내부에서 이루어졌습니다. 이전 버전과 호환되지 않는 수정 및 이 리팩토링으로 추가된 새로운 기능에 대한 언급을 포함한 변경 사항에 대한 가이드는 `Django wiki에서 볼 수 있습니다`__.
Automatic escaping of template variables,템플릿 변수의 자동 이스케이프
"To provide improved security against cross-site scripting (XSS) vulnerabilities, Django's template system now automatically escapes the output of variables. This behavior is configurable, and allows both variables and larger template constructs to be marked as safe (requiring no escaping) or unsafe (requiring escaping). A full guide to this feature is in the documentation for the :ttag:`autoescape` tag.","XSS(교차 사이트 스크립팅) 취약성에 대해 향상된 보안을 제공하기 위해, Django의 템플릿 시스템은 이제 자동으로 변수 출력을 이스케이프 처리합니다. 이 동작은 변경 가능하며, 변수와 더 큰 템플릿 구성을 모두 안전(이스케이프 필요 없음) 또는 안전하지 않음(이스케이프 필요)으로 표시할 수 있습니다. 이 기능에 대한 전체 가이드는 :ttag:`autoescape` 태그에 대한 문서에 있습니다."
``django.contrib.gis`` (GeoDjango),``django.contrib.gis`` (GeoDjango)
"A project over a year in the making, this adds world-class GIS (`Geographic Information Systems`_) support to Django, in the form of a ``contrib`` application. Its documentation is currently being maintained externally, and will be merged into the main Django documentation shortly. Huge thanks go to Justin Bronn, Jeremy Dunck, Brett Hoerner and Travis Pinney for their efforts in creating and completing this feature.","1년 넘게 진행 중인 이 프로젝트는 ``contrib`` 애플리케이션의 형태로 Django에 세계적 수준의 GIS(`Geographic Information Systems`_) 지원을 추가합니다. 해당 문서는 현재 외부에서 유지 관리되고 있으며, 곧 기본 Django 문서에 병합될 예정입니다. 이 기능을 만들고 완성하기 위해 노력한 Justin Bronn, Jeremy Dunck, Brett Hoerner 및 Travis Pinney에게 큰 감사를 드립니다."
