source (en),translation (ko)
"If your view is not rendering a template containing the :ttag:`csrf_token` template tag, Django might not set the CSRF token cookie. This is common in cases where forms are dynamically added to the page. To address this case, Django provides a view decorator which forces setting of the cookie: :func:`~django.views.decorators.csrf.ensure_csrf_cookie`.","만약 뷰가 :ttag:`csrf_token` 템플릿 태그가 포함된 템플릿을 렌더링하지 않는 경우, 장고는 CSRF 토큰 쿠키를 설정하지 않을 수 있습니다. 이는 양식이 페이지에 동적으로 추가되는 경우에는 일반적인 설정입니다. 이 경우, 장고는 쿠키 설정을 강제하는 뷰 데코레이터를 제공합니다: :func:`~django.views.decorators.csrf.ensure_csrf_cookie`."
Acquiring the token if :setting:`CSRF_USE_SESSIONS` or :setting:`CSRF_COOKIE_HTTPONLY` is ``True``,:setting:`CSRF_USE_SESSIONS` 또는 :setting:`CSRF_COOKIE_HTTPONLY`가 ``True``인 경우 토큰 획득
"If you activate :setting:`CSRF_USE_SESSIONS` or :setting:`CSRF_COOKIE_HTTPONLY`, you must include the CSRF token in your HTML and read the token from the DOM with JavaScript:",":setting:`CSRF_USE_SESSIONS` 또는 :setting:`CSRF_COOKIE_HTTPONLY`를 활성화하는 경우, HTML에 CSRF 토큰을 포함하고 JavaScript를 사용하여 DOM에서 토큰을 읽어야 합니다."
Setting the token on the AJAX request,AJAX 요청에 대한 토큰 설정
"Finally, you'll need to set the header on your AJAX request. Using the `fetch()`_ API:","마지막으로, AJAX 요청에 헤더를 설정해야 합니다. `fetch()`_ API 사용:"
Using CSRF protection in Jinja2 templates,Jinja2 템플릿에서 CSRF 보호 사용
Django's :class:`~django.template.backends.jinja2.Jinja2` template backend adds ``{{ csrf_input }}`` to the context of all templates which is equivalent to ``{% csrf_token %}`` in the Django template language. For example:,장고의 :class:`~django.template.backends.jinja2.Jinja2` 템플릿 백엔드는 장고의 템플릿 언어 내의 ``{% csrf_token %}``에 해당하는 모든 템플릿의 컨텍스트에 ``{{ csrf_input }}``를 추가합니다. 예를 들어:
Using the decorator method,데코레이터 메서드 사용
"Rather than adding ``CsrfViewMiddleware`` as a blanket protection, you can use the :func:`~django.views.decorators.csrf.csrf_protect` decorator, which has exactly the same functionality, on particular views that need the protection. It must be used **both** on views that insert the CSRF token in the output, and on those that accept the POST form data. (These are often the same view function, but not always).","``CsrfViewMiddleware``를 포괄적인 보호 기능으로 추가하는 대신 보호가 필요한 특정 뷰에 정확히 동일한 기능을 가진 :func:`~django.views.decorators.csrf.csrf_protect` 데코레이터를 사용할 수 있습니다. 이는 출력에 CSRF 토큰을 삽입하는 뷰와 POST 양식 데이터를 수락하는 뷰에서 **둘 다** 사용해야 합니다. (이 둘은 종종 동일한 뷰 함수이지만, 항상 그런 것은 아닙니다)."
"Use of the decorator by itself is **not recommended**, since if you forget to use it, you will have a security hole. The 'belt and braces' strategy of using both is fine, and will incur minimal overhead.","데코레이터를 그 자체로 사용하는 것은 **권장하지 않습니다**. 사용하는 것을 잊어버리면 보안 구멍이 생기기 때문입니다. 둘 다 사용하는 '벨트 및 버팀대' 전략은 괜찮으며, 이 경우 최소한의 오버헤드가 발생합니다."
Handling rejected requests,거부된 요청 처리
"By default, a '403 Forbidden' response is sent to the user if an incoming request fails the checks performed by ``CsrfViewMiddleware``. This should usually only be seen when there is a genuine Cross Site Request Forgery, or when, due to a programming error, the CSRF token has not been included with a POST form.","기본적으로, 들어오는 요청이 ``CsrfViewMiddleware``에서 수행한 검사에 실패하면 '403 Forbidden' 응답이 사용자에게 전송됩니다. 이것은 실제 Cross Site Request Forgery가 있거나, 프로그래밍 오류로 인해 CSRF 토큰이 POST 양식에 포함되지 않은 경우에만 전송되어야 합니다."
"The error page, however, is not very friendly, so you may want to provide your own view for handling this condition. To do this, set the :setting:`CSRF_FAILURE_VIEW` setting.","그러나 오류 페이지는 그다지 친숙하지 않으므로 이 조건을 처리하기 위한 고유한 뷰를 제공할 수 있습니다. 이렇게 하려면, :setting:`CSRF_FAILURE_VIEW`를 설정합니다."
CSRF failures are logged as warnings to the :ref:`django.security.csrf <django-security-logger>` logger.,CSRF 실패는 :ref:`django.security.csrf <django-security-logger>` 로거에 경고로 기록됩니다.
Using CSRF protection with caching,캐싱과 함께 CSRF 보호 사용
"If the :ttag:`csrf_token` template tag is used by a template (or the ``get_token`` function is called some other way), ``CsrfViewMiddleware`` will add a cookie and a ``Vary: Cookie`` header to the response. This means that the middleware will play well with the cache middleware if it is used as instructed (``UpdateCacheMiddleware`` goes before all other middleware).",":ttag:`csrf_token` 템플릿 태그가 템플릿에서 사용되는 경우(또는 ``get_token`` 함수가 다른 방식으로 호출되는 경우), ``CsrfViewMiddleware``는 쿠키와 ``Vary: Cookie`` 헤더를 응답에 추가합니다. 이것은 미들웨어가 지시된 대로 잘 사용된다면 캐시 미들웨어와 함께 잘 작동함을 의미합니다(``UpdateCacheMiddleware``는 다른 모든 미들웨어보다 먼저 실행됨)."
"However, if you use cache decorators on individual views, the CSRF middleware will not yet have been able to set the Vary header or the CSRF cookie, and the response will be cached without either one. In this case, on any views that will require a CSRF token to be inserted you should use the :func:`django.views.decorators.csrf.csrf_protect` decorator first::","그러나 개별 뷰에서 캐시 데코레이터를 사용하는 경우, CSRF 미들웨어는 아직 Vary 헤더 또는 CSRF 쿠키를 설정할 수 없으며 응답은 둘 중 하나만 캐시됩니다. 이 경우 CSRF 토큰을 삽입해야 하는 모든 뷰에서 :func:`django.views.decorators.csrf.csrf_protect` 데코레이터를 먼저 사용해야 합니다."
"If you are using class-based views, you can refer to :ref:`Decorating class-based views<decorating-class-based-views>`.","클래스 기반 보기를 사용하는 경우, :ref:`클래스 기반 뷰 꾸미기<decorating-class-based-views>`를 참조할 수 있습니다."
Testing and CSRF protection,테스트 및 CSRF 보호
"The ``CsrfViewMiddleware`` will usually be a big hindrance to testing view functions, due to the need for the CSRF token which must be sent with every POST request. For this reason, Django's HTTP client for tests has been modified to set a flag on requests which relaxes the middleware and the ``csrf_protect`` decorator so that they no longer rejects requests. In every other respect (e.g. sending cookies etc.), they behave the same.","``CsrfViewMiddleware``는 일반적으로 모든 POST 요청과 함께 보내야 하는 CSRF 토큰이 필요하기 때문에, 뷰 기능을 테스트하는 데 큰 방해가 됩니다. 이러한 이유로 장고의 테스트용 HTTP 클라이언트는 미들웨어와 ``csrf_protect`` 데코레이터를 완화하는 요청에 플래그를 설정하여 더 이상 요청을 거부하지 않도록 수정되어 있습니다. 다른 모든 측면(예: 쿠키 보내기 등)에서는 동일하게 동작합니다."
"If, for some reason, you *want* the test client to perform CSRF checks, you can create an instance of the test client that enforces CSRF checks::","어떤 이유로 테스트 클라이언트가 CSRF 검사를 수행하도록 *원하는 경우*, CSRF 검사를 시행하는 테스트 클라이언트의 인스턴스를 생성할 수 있습니다."
Edge cases,경계 조건들
Certain views can have unusual requirements that mean they don't fit the normal pattern envisaged here. A number of utilities can be useful in these situations. The scenarios they might be needed in are described in the following section.,특정 뷰에는 여기에서 예상하고 있는 일반적인 패턴에 맞지 않는 비정상적인 요구 사항이 있을 수 있습니다. 이러한 상황에는 여러 유틸리티를 사용할 수 있습니다. 필요할 수 있는 시나리오는 다음 섹션에 설명되어 있습니다.
Disabling CSRF protection for just a few views,일부 뷰에 대한 CSRF 보호 비활성화
"Most views requires CSRF protection, but a few do not.",대부분의 뷰에는 CSRF 보호가 필요하지만 일부는 그렇지 않습니다.
"Solution: rather than disabling the middleware and applying ``csrf_protect`` to all the views that need it, enable the middleware and use :func:`~django.views.decorators.csrf.csrf_exempt`.","해결책: 미들웨어를 비활성화하고 필요한 모든 보기에 ``csrf_protect``를 적용하는 대신, 미들웨어를 활성화하고 :func:`~django.views.decorators.csrf.csrf_exempt`를 사용하세요."
Setting the token when ``CsrfViewMiddleware.process_view()`` is not used,``CsrfViewMiddleware.process_view()``를 사용하지 않을 때 토큰 설정
"There are cases when ``CsrfViewMiddleware.process_view`` may not have run before your view is run - 404 and 500 handlers, for example - but you still need the CSRF token in a form.",404 및 500 핸들러와 같이 뷰가 실행되기 전에 ``CsrfViewMiddleware.process_view``가 실행되지 않는 경우들이 있습니다. 하지만 여전히 양식에는 CSRF 토큰이 필요합니다.
Solution: use :func:`~django.views.decorators.csrf.requires_csrf_token`,해결책: :func:`~django.views.decorators.csrf.requires_csrf_token`을 사용하세요.
Including the CSRF token in an unprotected view,보호되지 않은 뷰에 CSRF 토큰 include하기
"There may be some views that are unprotected and have been exempted by ``csrf_exempt``, but still need to include the CSRF token.","보호되지 않았거나 ``csrf_exempt``에 의해 면제되었지만, 여전히 CSRF 토큰을 포함해야 하는 일부 뷰가 있을 수 있습니다."
Solution: use :func:`~django.views.decorators.csrf.csrf_exempt` followed by :func:`~django.views.decorators.csrf.requires_csrf_token`. (i.e. ``requires_csrf_token`` should be the innermost decorator).,"해결책: :func:`~django.views.decorators.csrf.csrf_exempt` 다음에 :func:`~django.views.decorators.csrf.requires_csrf_token`을 사용하세요. (즉, ``requires_csrf_token``은 가장 안쪽 데코레이터여야 함)."
Protecting a view for only one path,하나의 경로에 대해서만 뷰 보호
"A view needs CSRF protection under one set of conditions only, and mustn't have it for the rest of the time.","한 가지 조건 세트에서만 CSRF 보호를 필요로 하며, 나머지 시간 동안에는 보호하지 않아야 하는 뷰."
"Solution: use :func:`~django.views.decorators.csrf.csrf_exempt` for the whole view function, and :func:`~django.views.decorators.csrf.csrf_protect` for the path within it that needs protection. Example::",솔루션: 전체 뷰 기능에는 :func:`~django.views.decorators.csrf.csrf_exempt`를 사용하고 보호가 필요한 경로에는 :func:`~django.views.decorators.csrf.csrf_protect`를 사용합니다. 예시::
Protecting a page that uses AJAX without an HTML form,HTML 양식 없이 AJAX를 사용하는 페이지 보호
"A page makes a POST request via AJAX, and the page does not have an HTML form with a :ttag:`csrf_token` that would cause the required CSRF cookie to be sent.","AJAX를 통해 POST 요청을 하며, 필수 CSRF 쿠키가 전송되도록 하는 :ttag:`csrf_token`이 포함된 HTML 양식이 없는 페이지."
Solution: use :func:`~django.views.decorators.csrf.ensure_csrf_cookie` on the view that sends the page.,솔루션: 페이지를 보내는 뷰에서 :func:`~django.views.decorators.csrf.ensure_csrf_cookie`를 사용하세요.
CSRF protection in reusable applications,재사용 가능한 애플리케이션에서 CSRF 보호
"Because it is possible for the developer to turn off the ``CsrfViewMiddleware``, all relevant views in contrib apps use the ``csrf_protect`` decorator to ensure the security of these applications against CSRF. It is recommended that the developers of other reusable apps that want the same guarantees also use the ``csrf_protect`` decorator on their views.",개발자가 ``CsrfViewMiddleware``를 끌 수 있기 때문에 contrib apps와 관련된 모든 뷰들은 CSRF에 대한 이러한 애플리케이션의 보안을 보장하기 위해 ``csrf_protect`` 데코레이터를 사용합니다. 동일한 보장을 원하는 다른 재사용 가능한 앱의 개발자도 자신의 뷰에 ``csrf_protect`` 데코레이터를 사용하는 것이 좋습니다.
How to write a custom storage class,커스텀 스토리지 클래스를 작성하는 방법
How to write custom lookups,사용자 정의 lookup을 작성하는 방법
By using ``Transform`` instead of ``Lookup`` it means we are able to chain further lookups afterward. So ``Experiment.objects.filter(change__abs__lt=27)`` will generate the following SQL:,``Lookup`` 대신 ``Transform``을 사용하면 나중에 추가 lookup을 연결할 수 있습니다. 따라서 ``Experiment.objects.filter(change__abs__lt=27)``는 다음 SQL을 생성합니다:
"A list or tuple of tags, e.g. ``[Tags.staticfiles, Tags.models]``. System checks :ref:`registered in the chosen tags <registering-labeling-checks>` will be checked for errors prior to executing the command. The value ``'__all__'`` can be used to specify that all system checks should be performed. Default value is ``'__all__'``.","태그 리스트나 튜플, 예: ``[Tags.staticfiles, Tags.models]``. 시스템 검사 :ref:`선택한 태그<registering-labeling-checks>에 등록됨`은 명령을 실행하기 전에 오류를 검사합니다. 값 ``'__all__'``은 모든 시스템 검사가 수행되어야 함을 지정하는 데 사용할 수 있습니다. 기본값은 ``'__all__'``입니다."
The default command options to suppress in the help output. This should be a set of option names (e.g. ``'--verbosity'``). The default values for the suppressed options are still passed.,도움말 출력에서 억제할 기본 명령 옵션입니다. 이것은 옵션 이름의 집합이어야 합니다(예: ``'--verbosity'``). 억제된 옵션의 기본값은 여전히 전달됩니다.
"Tries to execute this command, performing system checks if needed (as controlled by the :attr:`requires_system_checks` attribute). If the command raises a :exc:`CommandError`, it's intercepted and printed to ``stderr``.","필요한 경우 시스템 검사를 수행하여 이 명령을 실행하시오( :attr:'requires_system_checks' 속성에 의해 제어됨). 커맨드가 :exc:`CommandError` 을 보여주는 경우, 중간에 가로채져 ``stderr``에 출력될 것입니다."
Uses the system check framework to inspect the entire Django project for potential problems. Serious problems are raised as a :exc:`CommandError`; warnings are output to ``stderr``; minor notifications are output to ``stdout``.,시스템 검사 프레임워크를 사용하여 전체 장고 프로젝트에 잠재적인 문제가 있는지 검사합니다. 심각한 문제는 다음과 같이 제기됩니다:exc:`CommandError`;경고는 ``stderr``로 출력되고 경미한 알림은 ``stdout``으로 출력됩니다.
"If this exception is raised during the execution of a management command from a command line console, it will be caught and turned into a nicely-printed error message to the appropriate output stream (i.e., ``stderr``); as a result, raising this exception (with a sensible description of the error) is the preferred way to indicate that something has gone wrong in the execution of a command. It accepts the optional ``returncode`` argument to customize the exit status for the management command to exit with, using :func:`sys.exit`.","명령줄 콘솔에서 관리 명령을 실행하는 동안 이 예외가 발생하면 해당 명령이 캡처되어 적절한 출력 스트림(예, ``stderr``)으로 인쇄된 오류 메시지로 전환됩니다. 따라서 오류에 대한 적절한 설명을 통해 이 예외를 발생시키는 것이 좋습니다.명령을 잘못 실행하다 그것은 :func:'sys.exit'을 사용하여 관리 명령의 종료 상태를 사용자 정의하기 위한 선택적인 ``returncode`` 주장을 수용한다."
How to create custom model fields,사용자 지정 모델 필드를 만드는 방법
"For our ``Hand`` example, we could convert the card data to a string of 104 characters by concatenating all the cards together in a predetermined order -- say, all the *north* cards first, then the *east*, *south* and *west* cards. So ``Hand`` objects can be saved to text or character columns in the database.","우리의 ""Hand"" 예에서는 모든 카드를 미리 정해진 순서대로 연결함으로써 104자 문자열로 카드 데이터를 변환할 수 있습니다. 예를 들어 모든 *북* 카드, 그 다음 *동*, *남* 및 *서* 카드). 따라서 ""Hand"" 개체를 데이터베이스의 텍스트 또는 문자 열에 저장할 수 있습니다."
"The counterpoint to writing your ``__init__()`` method is writing the :meth:`~.Field.deconstruct` method. It's used during :doc:`model migrations </topics/migrations>` to tell Django how to take an instance of your new field and reduce it to a serialized form - in particular, what arguments to pass to ``__init__()`` to recreate it.","당신의 ``__init__()"" 방식을 쓰는 것의 대척점은 :meth:""를 쓰는 것이다.Field.deconstruction' 메서드입니다. 그것은 :doc:'model migration </topics/migrations>'에서 Django에게 당신의 새로운 필드의 예를 들어 그것을 직렬화된 형태로 줄이는 방법, 특히 그것을 재생성하기 위해 ""_init_()""로 전달할 인수들을 말한다."
Field attributes not affecting database column definition,데이터베이스 열 정의에 영향을 주지 않는 필드 속성
You can override ``Field.non_db_attrs`` to customize attributes of a field that don't affect a column definition. It's used during model migrations to detect no-op ``AlterField`` operations.,``Field.non_db_attrs``를 재정의하여 열 정의에 영향을 미치지 않는 필드의 속성을 사용자 정의할 수 있습니다. no-op ``AlterField`` 작업을 감지하기 위해 모델 마이그레이션 중에 사용됩니다.
"If you aim to build a database-agnostic application, you should account for differences in database column types. For example, the date/time column type in PostgreSQL is called ``timestamp``, while the same column in MySQL is called ``datetime``. You can handle this in a :meth:`~Field.db_type` method by checking the ``connection.vendor`` attribute. Current built-in vendor names are: ``sqlite``, ``postgresql``, ``mysql``, and ``oracle``.","데이터베이스에 구애받지 않는 애플리케이션을 구축하려는 경우 데이터베이스 열 유형의 차이를 고려해야 합니다. 예를 들어 PostgreSQL의 날짜/시간 열 유형은 ``timestamp``라고 하는 반면 MySQL의 동일한 열 유형은 ``datetime``입니다. ``connection.vendor`` 속성을 확인하여 ~Field.db_type` 메서드에서 이를 처리할 수 있습니다. 현재 빌트인 벤더 이름은 ``sqlite``, ``postgresql``, ``mysql`` 및 ``oracle``입니다."
"In our ``HandField`` class, we're storing the data as a ``VARCHAR`` field in the database, so we need to be able to process strings and ``None`` in the ``from_db_value()``. In ``to_python()``, we need to also handle ``Hand`` instances::",``HandField`` 클래스에서 데이터를 데이터베이스에 ``VARCHAR`` 필드로 저장하므로 ``from_db_value()``에서 문자열 및 ``None``을 처리할 수 있어야 합니다. ``to_python()``에서 ``Hand`` 인스턴스도 처리해야 합니다::
How to implement a custom template backend,커스텀 템플릿 백엔드를 구현하는 방법
How to create custom template tags and filters,커스텀 템플릿 태그 및 필터를 만드는 방법
"For a ton of examples, read the source code for Django's default filters and tags. They're in :source:`django/template/defaultfilters.py` and :source:`django/template/defaulttags.py`, respectively.",수많은 예제를 보려면 Django의 기본 필터 및 태그에 대한 소스 코드를 읽으십시오. 그것들은 각각 :source:`django/template/defaultfilters.py`와 :source:`django/template/defaulttags.py`에 있습니다.
"In development mode, you can add ``--reload`` to cause the server to reload any time a file is changed on disk.",개발 모드에서는 ``--reload``를 추가하여 디스크에서 파일이 변경될 때마다 서버가 다시 로드되도록 할 수 있습니다.
Deploying Django using Uvicorn and Gunicorn,Uvicorn 및 Gunicorn을 사용하여 Django 배포
Gunicorn_ is a robust web server that implements process monitoring and automatic restarts. This can be useful when running Uvicorn in a production environment.,Gunicorn_은 프로세스 모니터링 및 자동 재시작을 구현하는 강력한 웹 서버입니다. 이는 프로덕션 환경에서 Uvicorn을 실행할 때 유용할 수 있습니다.
"To install Uvicorn and Gunicorn, use the following::",Uvicorn 및 Gunicorn을 설치하려면 다음을 사용하십시오::
Then start Gunicorn using the Uvicorn worker class like this::,이후 다음과 같이 Uvicorn worker 클래스를 사용하여 Gunicorn을 시작합니다::
"The internet is a hostile environment. Before deploying your Django project, you should take some time to review your settings, with security, performance, and operations in mind.","인터넷은 위험한 환경입니다. Django 프로젝트를 배포하기 전에 보안, 성능 및 작업을 염두에 두고 설정을 검토해야 합니다."
"If rotating secret keys, you may use :setting:`SECRET_KEY_FALLBACKS`::",비밀 키를 순환하는 경우 :setting:`SECRET_KEY_FALLBACKS`::를 사용할 수 있습니다.
Ensure that old secret keys are removed from ``SECRET_KEY_FALLBACKS`` in a timely manner.,적절한 때에 ``SECRET_KEY_FALLBACKS``에서 오래된 비밀 키가 제거되었는지 확인하십시오.
The ``SECRET_KEY_FALLBACKS`` setting was added to support rotating secret keys.,비밀 키 순환을 지원하기 위해 ``SECRET_KEY_FALLBACKS`` 설정이 추가되었습니다.
"You should also configure the web server that sits in front of Django to validate the host. It should respond with a static error page or ignore requests for incorrect hosts instead of forwarding the request to Django. This way you'll avoid spurious errors in your Django logs (or emails if you have error reporting configured that way). For example, on nginx you might set up a default server to return ""444 No Response"" on an unrecognized host:","또한 호스트를 검증하기 위해 Django 앞에 있는 웹 서버를 구성해야 합니다. 정적 오류 페이지로 응답하거나 Django에 요청을 전달하는 대신 잘못된 호스트에 대한 요청을 무시해야 합니다. 이렇게 하면 Django 로그(또는 그런 방식으로 구성된 오류 보고가 있는 경우 이메일)에서 가짜 오류를 피할 수 있습니다. 예를 들어 nginx에서 인식할 수 없는 호스트에서 ""444 No Response""를 반환하도록 기본 서버를 설정할 수 있습니다."
"Enabling the cached template loader often improves performance drastically, as it avoids compiling each template every time it needs to be rendered. When :setting:`DEBUG = False <DEBUG>`, the cached template loader is enabled automatically. See :class:`django.template.loaders.cached.Loader` for more information.",캐시된 템플릿 로더를 활성화하면 각 템플릿을 렌더링해야 할 때마다 컴파일하지 않아도 되므로 성능이 크게 향상되는 경우가 많습니다. 설정:`DEBUG = False <DEBUG>`인 경우 캐시된 템플릿 로더가 자동으로 활성화됩니다. 자세한 내용은 :class:`django.template.loaders.cached.Loader`를 참조하십시오.
"Django includes default views and templates for several HTTP error codes. You may want to override the default templates by creating the following templates in your root template directory: ``404.html``, ``500.html``, ``403.html``, and ``400.html``. The :ref:`default error views <error-views>` that use these templates should suffice for 99% of web applications, but you can :ref:`customize them <customizing-error-views>` as well.","Django에는 여러 HTTP 오류 코드에 대한 기본 보기 및 템플릿이 포함되어 있습니다. 루트 템플릿 디렉토리에 ``404.html``, ``500.html``, ``403.html`` 및 ``400.html` 템플릿을 생성하여 기본 템플릿을 재정의할 수 있습니다. 99%의 웹 응용 프로그램에는 이러한 템플릿을 사용하는 :ref:`기본 오류 뷰 <error-views>`가 충분하지만, :ref:`사용자 정의 <customizing-error-views>`할 수도 있습니다."
How to deploy Django,장고를 배포하는 방법
"Django is full of shortcuts to make web developers' lives easier, but all those tools are of no use if you can't easily deploy your sites. Since Django's inception, ease of deployment has been a major goal.","Django는 웹 개발자의 생활을 더 쉽게 만들 수 있는 지름길로 가득 차 있지만, 사이트를 쉽게 배치할 수 없다면 이러한 도구들은 아무 소용이 없습니다. django의 설립 이후, 배치의 용이성이 주요 목표였다."
"`WSGI`_ is the main Python standard for communicating between web servers and applications, but it only supports synchronous code.",WSGI는 웹 서버와 애플리케이션 간의 통신을 위한 주요 파이썬 표준이지만 동기식 코드만 지원한다.
